date,close
2021-10-15,50.711
2021-10-18,50.84
2021-10-19,50.72
2021-10-20,50.79
2021-10-21,50.81
2021-10-22,50.786
2021-10-25,50.68
2021-10-26,50.761
2021-10-27,50.72
2021-10-28,50.71
2021-10-29,50.415
2021-11-02,50.39
2021-11-03,50.57
2021-11-04,50.595
2021-11-05,50.33
2021-11-08,50.16
2021-11-09,50.091
2021-11-10,50.069
2021-11-11,50.165
2021-11-12,49.85
2021-11-15,50.19
2021-11-16,50.3
2021-11-17,50.39
2021-11-18,50.23
2021-11-19,50.41
2021-11-22,50.65
2021-11-23,50.59
2021-11-24,50.34
2021-11-25,50.39
2021-11-26,50.43
2021-11-29,50.39
2021-12-01,50.34
2021-12-02,50.4
2021-12-03,50.36
2021-12-06,50.41
2021-12-07,50.375
2021-12-09,50.26
2021-12-10,50.35
2021-12-13,50.32
2021-12-14,50.35
2021-12-15,50.27
2021-12-16,49.96
2021-12-17,50.02
2021-12-20,49.93
2021-12-21,49.95
2021-12-22,50.19
2021-12-23,50.045
2021-12-24,50.04
2021-12-27,50.23
2021-12-28,50.46
2021-12-29,51
2021-12-31,50.999
2022-01-06,51.18
2022-01-07,51.35
2022-01-10,51.31
2022-01-11,51.14
2022-01-12,51.19
2022-01-13,51.04
2022-01-14,51.11
2022-01-17,51.255
2022-01-18,51.488
2022-01-19,51.5
2022-01-20,51.34
2022-01-21,51.37
2022-01-24,51.29
2022-01-25,51.26
2022-01-26,51.29
2022-01-27,51.34
2022-01-28,51.23
2022-01-31,50.95
2022-02-02,51.045
2022-02-03,51.05
2022-02-04,51.14
2022-02-07,51.37
2022-02-08,51.5
2022-02-09,51.34
2022-02-10,51.235
2022-02-11,51.34
2022-02-14,51.37
2022-02-15,51.382
2022-02-16,51.285
2022-02-17,51.33
2022-02-18,51.35
2022-02-21,51.38
2022-02-22,51.45
2022-02-23,51.1
2022-02-24,51.34
2022-02-28,51.27
2022-03-01,51.23
2022-03-02,51.42
2022-03-03,51.5
2022-03-04,51.74
2022-03-07,52.18
2022-03-08,52.32
2022-03-09,52.23
2022-03-10,52.155
2022-03-11,52.29
2022-03-14,52.475
2022-03-15,52.415
2022-03-16,52.31
2022-03-17,52.14
2022-03-18,52.335
2022-03-21,52.35
2022-03-22,52.44
2022-03-23,52.39
2022-03-24,52.33
2022-03-25,52.15
2022-03-28,52.13
2022-03-29,52.075
2022-03-30,52.01
2022-03-31,51.74
2022-04-01,51.67
2022-04-04,51.38
2022-04-05,51.19
2022-04-06,51.43
2022-04-07,51.42
2022-04-08,51.59
